[2024-08-20 13:44:58.160]	   "tmux-resurrect" update success
[2024-08-20 13:44:58.162]	     | Already up to date.
[2024-08-20 13:44:58.174]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:44:58.221]	 Done.

[2024-08-20 13:54:12.679]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:54:12.690]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:54:13.027]	 Installing "tags"
[2024-08-20 13:54:13.038]	 Already installed "tmux-resurrect"
[2024-08-20 13:54:13.040]	 Already installed "tmux-copycat"
[2024-08-20 13:54:13.040]	 Already installed "tmux-continuum"
[2024-08-20 13:54:13.410]	   "tags" download fail
[2024-08-20 13:54:13.443]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:54:13.883]	 Updating all plugins!
[2024-08-20 13:54:13.883]	 
[2024-08-20 13:54:14.793]	   "tmux-copycat" update success
[2024-08-20 13:54:14.793]	   "tmux-continuum" update success
[2024-08-20 13:54:14.795]	     | Already up to date.
[2024-08-20 13:54:14.795]	     | Already up to date.
[2024-08-20 13:54:14.816]	   "tmux-resurrect" update success
[2024-08-20 13:54:14.818]	     | Already up to date.
[2024-08-20 13:54:14.829]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:54:14.878]	 Done.

[2024-08-20 13:54:30.371]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:54:30.387]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:54:30.634]	 Installing "tags"
[2024-08-20 13:54:30.645]	 Already installed "tmux-continuum"
[2024-08-20 13:54:30.647]	 Already installed "tmux-copycat"
[2024-08-20 13:54:30.648]	 Already installed "tmux-resurrect"
[2024-08-20 13:54:30.759]	   "tags" download fail
[2024-08-20 13:54:30.770]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:54:30.989]	 Updating all plugins!
[2024-08-20 13:54:30.990]	 
[2024-08-20 13:54:31.937]	   "tmux-copycat" update success
[2024-08-20 13:54:31.938]	   "tmux-continuum" update success
[2024-08-20 13:54:31.939]	     | Already up to date.
[2024-08-20 13:54:31.941]	     | Already up to date.
[2024-08-20 13:54:31.960]	   "tmux-resurrect" update success
[2024-08-20 13:54:31.962]	     | Already up to date.
[2024-08-20 13:54:31.973]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:54:32.021]	 Done.

[2024-08-20 14:14:46.515]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 14:14:46.525]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 14:14:47.477]	 Installing "tags"
[2024-08-20 14:14:47.486]	 Already installed "tmux-resurrect"
[2024-08-20 14:14:47.486]	 Already installed "tmux-continuum"
[2024-08-20 14:14:47.486]	 Already installed "tmux-copycat"
[2024-08-20 14:14:47.835]	   "tags" download fail
[2024-08-20 14:14:47.870]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 14:14:48.293]	 Updating all plugins!
[2024-08-20 14:14:48.294]	 
[2024-08-20 14:14:49.110]	   "tmux-copycat" update success
[2024-08-20 14:14:49.113]	     | Already up to date.
[2024-08-20 14:14:49.128]	   "tmux-continuum" update success
[2024-08-20 14:14:49.130]	     | Already up to date.
[2024-08-20 14:14:49.137]	   "tmux-resurrect" update success
[2024-08-20 14:14:49.139]	     | Already up to date.
[2024-08-20 14:14:49.150]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 14:14:49.198]	 Done.

[2024-09-24 14:50:20.186]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-09-24 14:50:20.218]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-09-24 14:50:20.552]	 Installing "tags"
[2024-09-24 14:50:20.570]	 Already installed "tmux-continuum"
[2024-09-24 14:50:20.570]	 Already installed "tmux-resurrect"
[2024-09-24 14:50:20.570]	 Already installed "tmux-copycat"
[2024-09-24 14:50:21.189]	   "tags" download fail
[2024-09-24 14:50:21.212]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-09-24 14:50:21.762]	 Updating all plugins!
[2024-09-24 14:50:21.763]	 
[2024-09-24 14:50:22.914]	   "tmux-copycat" update success
[2024-09-24 14:50:22.914]	   "tmux-continuum" update success
[2024-09-24 14:50:22.916]	     | Already up to date.
[2024-09-24 14:50:22.916]	     | Already up to date.
[2024-09-24 14:50:22.940]	   "tmux-resurrect" update success
[2024-09-24 14:50:22.943]	     | Already up to date.
[2024-09-24 14:50:22.954]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-09-24 14:50:23.052]	 Done.

[2024-11-03 20:42:51.878]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-11-03 20:42:51.932]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-03 20:42:53.604]	 Installing "tags"
[2024-11-03 20:42:53.619]	 Already installed "tmux-copycat"
[2024-11-03 20:42:53.620]	 Already installed "tmux-resurrect"
[2024-11-03 20:42:53.621]	 Already installed "tmux-continuum"
[2024-11-03 20:42:54.171]	   "tags" download fail
[2024-11-03 20:42:54.190]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-03 20:42:54.728]	 Updating all plugins!
[2024-11-03 20:42:54.728]	 
[2024-11-03 20:42:55.732]	   "tmux-copycat" update success
[2024-11-03 20:42:55.735]	     | Already up to date.
[2024-11-03 20:42:55.738]	   "tmux-resurrect" update success
[2024-11-03 20:42:55.738]	   "tmux-continuum" update success
[2024-11-03 20:42:55.741]	     | Already up to date.
[2024-11-03 20:42:55.741]	     | Already up to date.
[2024-11-03 20:42:55.752]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-03 20:42:55.859]	 Done.

[2024-11-19 13:23:33.384]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-11-19 13:23:33.395]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-19 13:23:33.874]	 Installing "tags"
[2024-11-19 13:23:33.891]	 Already installed "tmux-copycat"
[2024-11-19 13:23:33.891]	 Already installed "tmux-continuum"
[2024-11-19 13:23:33.891]	 Already installed "tmux-resurrect"
[2024-11-19 13:23:34.273]	   "tags" download fail
[2024-11-19 13:23:34.298]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-19 13:23:34.757]	 Updating all plugins!
[2024-11-19 13:23:34.758]	 
[2024-11-19 13:23:35.785]	   "tmux-copycat" update success
[2024-11-19 13:23:35.785]	   "tmux-continuum" update success
